id,index_right,USO_TIERRA,USO,SUBUSO,ESTRUCTURA,COBERTURA,ALTURA,TIPO_FORES,SUBTIPOFOR,ESPECI1_CI,ESPECI2_CI,ESPECI3_CI,ESPECI4_CI,ESPECI5_CI,ESPECI6_CI,ESPECI1_CO,ESPECI2_CO,ESPECI3_CO,ESPECI4_CO,ESPECI5_CO,ESPECI6_CO,ESPCC1,ESPCC2,cummulative_greenness,eft,minimum_greenness,season_length,seasonal_variation,elevation,slope,aspect,ndvi_l8,ndvi_s2
567,203,AFLORAMIENTOS ROCOSOS,AREAS DESPROVISTAS DE VEGETACION,AFLORAMIENTOS ROCOSOS,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,,,,,,,,,,,,,,,,,2624.634033203125,37.44157409667969,238.04251098632807,0.0901639344262296,0.0503381953710946
980,203,AFLORAMIENTOS ROCOSOS,AREAS DESPROVISTAS DE VEGETACION,AFLORAMIENTOS ROCOSOS,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,,,,,,,,,,,,,,,,,2558.977783203125,31.79944229125977,277.3904724121094,0.0745424222592834,0.0949105914718018
293,54,MATORRAL ARBORESCENTE SEMIDENSO,PRADERAS Y MATORRALES,MATORRAL ARBORESCENTE,NO APLICA,SEMIDENSO,NO APLICA,NO APLICA,NO APLICA,talguenea quinquinervia,echinopsis chiloensis,quillaja saponaria,adesmia confusa,porlieria chilensis,,tralhuen,quisco,quillay,espinillo,guayacan,,porlieria chilensis,,1.79862457514,1.0,0.06345817074,88.0,0.10100333765,1878.9541015625,29.795629501342773,311.84375,0.3129955099422706,0.2523414626881284
440,55,BOSQUE NATIVO RENOVAL SEMIDENSO,BOSQUE,NATIVO,RENOVAL,SEMIDENSO,4 - 8,ESCLEROFILO,PEUMO QUILLAY LITRE,lithrea caustica,quillaja saponaria,trevoa trinervis,colliguaja odorifera,schinus polygamus,acacia caven,litre,quillay,tevo,colliguay,huingan,espino,porlieria chilensis,,2.69545269012,1.0,0.16205078363,96.0,0.03163411096,1514.141357421875,23.857465744018555,44.84782028198242,0.3629337917563067,0.4133057566356429
285,171,BOSQUE NATIVO RENOVAL SEMIDENSO,BOSQUE,NATIVO,RENOVAL,SEMIDENSO,8 - 12,ESCLEROFILO,PEUMO QUILLAY LITRE,quillaja saponaria,kageneckia angustifolia,kageneckia oblonga,talguenea quinquinervia,acacia caven,porlieria chilensis,quillay,frangel,bollen,tralhuen,espino,guayacan,porlieria chilensis,kageneckia angustifolia,2.67353320122,1.0,0.06477231905,104.0,0.15047343075,1431.92041015625,15.558087348937988,192.0279693603516,0.373855683705394,0.3693460684832983
318,114,BOSQUE NATIVO RENOVAL MUY ABIERTO,BOSQUE,NATIVO,RENOVAL,MUY ABIERTO,4 - 8,ESCLEROFILO,PEUMO QUILLAY LITRE,cryptocarya alba,lithrea caustica,quillaja saponaria,otholobium glandulosum,acacia caven,kageneckia oblonga,peumo,litre,quillay,culen,espino,bollen,porlieria chilensis,,2.3142260313,1.0,0.0811958313,88.0,0.12139188498,1367.1383056640625,39.14425277709961,223.26622009277344,0.3110301873612363,0.2331902718168813
824,24,MATORRAL ARBORESCENTE ABIERTO,PRADERAS Y MATORRALES,MATORRAL ARBORESCENTE,NO APLICA,ABIERTO,NO APLICA,NO APLICA,NO APLICA,kageneckia oblonga,porlieria chilensis,echinopsis chiloensis,gochnatia fascicularis,adesmia confusa,talguenea quinquinervia,bollen,guayacan,quisco,mira mira,espinillo,tralhuen,porlieria chilensis,,,,,,,2097.839599609375,22.38743782043457,55.52585220336914,0.2563972637446161,0.2293069306930693
244,41,BOSQUE NATIVO RENOVAL SEMIDENSO,BOSQUE,NATIVO,RENOVAL,SEMIDENSO,4 - 8,ESCLEROFILO,PEUMO QUILLAY LITRE,quillaja saponaria,lithrea caustica,schinus polygamus,acacia caven,porlieria chilensis,,quillay,litre,huingan,espino,guayacan,,porlieria chilensis,,2.27854895592,1.0,0.12987399101,80.0,0.07588526607,1437.58447265625,21.04572105407715,166.5150604248047,0.3972713373379045,0.447284301122576
1094,203,AFLORAMIENTOS ROCOSOS,AREAS DESPROVISTAS DE VEGETACION,AFLORAMIENTOS ROCOSOS,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,,,,,,,,,,,,,,,,,2728.54052734375,20.648984909057617,295.5633850097656,0.1562427905980757,0.1434143586279514
517,145,BOSQUE NATIVO RENOVAL MUY ABIERTO,BOSQUE,NATIVO,RENOVAL,MUY ABIERTO,2 - 4,ESCLEROFILO,PEUMO QUILLAY LITRE,quillaja saponaria,austrocedrus chilensis,schinus polygamus,,,,quillay,cipres de la cordillera,huingan,,,,austrocedrus chilensis,,2.68857598305,1.0,0.15839178115,96.0,0.03100977372,1568.6368408203125,18.64653778076172,192.67758178710932,0.3294018939181074,0.2034738848140128
